[2025-01-19 18:03:48,641:INFO:main:welcome to main log]
[2025-01-19 18:04:16,339:INFO:main:welcome to custom log]
[2025-01-20 17:02:46,066:INFO:common:yaml file: config\config.yaml loaded successfully]
[2025-01-20 17:02:46,079:INFO:common:yaml file: params.yaml loaded successfully]
[2025-01-20 17:03:04,391:INFO:common:yaml file: config\config.yaml loaded successfully]
[2025-01-20 17:03:04,394:INFO:common:yaml file: params.yaml loaded successfully]
[2025-01-20 17:03:04,395:INFO:common:created directory at :artifacts]
[2025-01-20 17:03:04,396:INFO:741498087:Downlading data from https://drive.google.com/file/d/1yXVQRrUoPNWYxEqpvLy-OmSF40quWeSv/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-20 17:03:11,778:INFO:741498087:Downloaded data from https://drive.google.com/file/d/1yXVQRrUoPNWYxEqpvLy-OmSF40quWeSv/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-20 17:07:34,822:INFO:common:yaml file: config\config.yaml loaded successfully]
[2025-01-20 17:07:34,824:INFO:common:yaml file: params.yaml loaded successfully]
[2025-01-20 17:07:34,825:INFO:common:created directory at :artifacts]
[2025-01-20 17:07:34,826:INFO:741498087:Downlading data from https://drive.google.com/file/d/1yXVQRrUoPNWYxEqpvLy-OmSF40quWeSv/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-20 17:07:43,599:INFO:741498087:Downloaded data from https://drive.google.com/file/d/1yXVQRrUoPNWYxEqpvLy-OmSF40quWeSv/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-20 17:20:29,704:INFO:common:yaml file: config\config.yaml loaded successfully]
[2025-01-20 17:20:29,707:INFO:common:yaml file: params.yaml loaded successfully]
[2025-01-20 17:20:29,709:INFO:common:created directory at :artifacts]
[2025-01-20 17:20:29,710:INFO:1183474613:Downlading data from https://drive.google.com/file/d/1yXVQRrUoPNWYxEqpvLy-OmSF40quWeSv/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-20 17:20:36,608:INFO:1183474613:Downloaded data from https://drive.google.com/file/d/1yXVQRrUoPNWYxEqpvLy-OmSF40quWeSv/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-20 17:20:50,078:INFO:common:yaml file: config\config.yaml loaded successfully]
[2025-01-20 17:20:50,079:INFO:common:yaml file: params.yaml loaded successfully]
[2025-01-20 17:20:50,080:INFO:common:created directory at :artifacts]
[2025-01-20 17:20:50,081:INFO:1183474613:Downlading data from https://drive.google.com/file/d/1yXVQRrUoPNWYxEqpvLy-OmSF40quWeSv/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-20 17:20:58,251:INFO:1183474613:Downloaded data from https://drive.google.com/file/d/1yXVQRrUoPNWYxEqpvLy-OmSF40quWeSv/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-20 17:52:41,574:INFO:common:yaml file: config\config.yaml loaded successfully]
[2025-01-20 17:52:41,577:INFO:common:yaml file: params.yaml loaded successfully]
[2025-01-20 17:52:41,577:INFO:common:created directory at :artifacts]
[2025-01-20 17:54:15,551:INFO:common:yaml file: config\config.yaml loaded successfully]
[2025-01-20 17:54:15,553:INFO:common:yaml file: params.yaml loaded successfully]
[2025-01-20 17:54:15,554:INFO:common:created directory at :artifacts]
[2025-01-20 17:54:15,555:INFO:2792126190:File already exists of size: ~123018 KB]
[2025-01-20 17:55:21,108:INFO:common:yaml file: config\config.yaml loaded successfully]
[2025-01-20 17:55:21,111:INFO:common:yaml file: params.yaml loaded successfully]
[2025-01-20 17:55:21,111:INFO:common:created directory at :artifacts]
[2025-01-20 17:55:21,113:INFO:2792126190:Downlading data from https://drive.google.com/file/d/1yXVQRrUoPNWYxEqpvLy-OmSF40quWeSv/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-20 17:55:27,998:INFO:2792126190:Downloaded data from https://drive.google.com/file/d/1yXVQRrUoPNWYxEqpvLy-OmSF40quWeSv/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-20 18:16:14,757:INFO:main:>>>> stage DATA INGESTION STAGE started <<<<]
[2025-01-20 18:16:14,760:INFO:common:yaml file: config\config.yaml loaded successfully]
[2025-01-20 18:16:14,760:INFO:common:yaml file: params.yaml loaded successfully]
[2025-01-20 18:16:14,761:INFO:common:created directory at :artifacts]
[2025-01-20 18:16:14,761:INFO:data_ingestion:Downlading data from https://drive.google.com/file/d/1yXVQRrUoPNWYxEqpvLy-OmSF40quWeSv/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-20 18:16:20,892:INFO:data_ingestion:Downloaded data from https://drive.google.com/file/d/1yXVQRrUoPNWYxEqpvLy-OmSF40quWeSv/view?usp=sharing into file artifacts/data_ingestion/data.zip]
[2025-01-20 18:16:29,414:INFO:data_ingestion:Extracted the zip file contents]
[2025-01-20 18:16:29,415:INFO:main:>>>> stage DATA INGESTION STAGE completed <<<< 

 x==========x]
